HomeTeam,AwayTeam,ScoreHome,ScoreAway,TotalScore
Miami Heat,Orlando Magic,111,103,214
Milwaukee Bucks,New York Knicks,134,101,235
New Orleans Pelicans,Minnesota Timberwolves,105,135,240
Brooklyn Nets,Boston Celtics,121,109,230
Toronto Raptors,Atlanta Hawks,120,121,241
Charlotte Hornets,Detroit Pistons,105,102,207
Dallas Mavericks,San Antonio Spurs,115,104,219
Memphis Grizzlies,Washington Wizards,127,112,239
Phoenix Suns,Golden State Warriors,120,98,218
Portland Trail Blazers,Sacramento Kings,123,119,242
San Antonio Spurs,Oklahoma City Thunder,102,107,209
New Orleans Pelicans,Miami Heat,93,103,196
Indiana Pacers,Denver Nuggets,103,113,216
Memphis Grizzlies,Milwaukee Bucks,111,112,223
New York Knicks,Detroit Pistons,114,104,218
Boston Celtics,Toronto Raptors,132,125,257
Washington Wizards,Los Angeles Clippers,119,117,236
Portland Trail Blazers,Golden State Warriors,108,106,214
Sacramento Kings,Los Angeles Lakers,123,120,243
Dallas Mavericks,Oklahoma City Thunder,87,78,165
Minnesota Timberwolves,Charlotte Hornets,102,135,237
New Orleans Pelicans,Chicago Bulls,124,128,252
Orlando Magic,Atlanta Hawks,112,115,227
Houston Rockets,Brooklyn Nets,114,132,246
Cleveland Cavaliers,Indiana Pacers,111,114,225
Philadelphia 76ers,Utah Jazz,131,123,254
Toronto Raptors,Detroit Pistons,105,129,234
Los Angeles Lakers,Phoenix Suns,104,114,218
Milwaukee Bucks,Denver Nuggets,97,128,225
San Antonio Spurs,New York Knicks,119,93,212
Boston Celtics,Los Angeles Clippers,117,112,229
Miami Heat,Atlanta Hawks,80,94,174
Washington Wizards,Memphis Grizzlies,111,125,236
Portland Trail Blazers,Charlotte Hornets,123,111,234
Houston Rockets,Cleveland Cavaliers,90,101,191
San Antonio Spurs,Brooklyn Nets,113,124,237
Chicago Bulls,Denver Nuggets,112,118,230
New Orleans Pelicans,Utah Jazz,129,124,253
Orlando Magic,Dallas Mavericks,124,130,254
Philadelphia 76ers,Indiana Pacers,130,114,244
Sacramento Kings,Charlotte Hornets,126,127,253
Minnesota Timberwolves,Phoenix Suns,99,118,217
Detroit Pistons,New York Knicks,90,109,199
Houston Rockets,Memphis Grizzlies,84,133,217
Los Angeles Lakers,Golden State Warriors,117,91,208
Miami Heat,Atlanta Hawks,109,99,208
Boston Celtics,Washington Wizards,111,110,221
Milwaukee Bucks,Los Angeles Clippers,105,100,205
Brooklyn Nets,Dallas Mavericks,98,115,213
New York Knicks,Indiana Pacers,110,107,217
Oklahoma City Thunder,Denver Nuggets,96,126,222
Orlando Magic,Utah Jazz,109,124,233
San Antonio Spurs,New Orleans Pelicans,117,114,231
Philadelphia 76ers,Cleveland Cavaliers,109,112,221
Washington Wizards,Minnesota Timberwolves,128,112,240
Golden State Warriors,Charlotte Hornets,130,121,251
Los Angeles Lakers,Portland Trail Blazers,102,93,195
Chicago Bulls,Phoenix Suns,97,106,203
Detroit Pistons,Sacramento Kings,107,110,217
Memphis Grizzlies,Los Angeles Clippers,99,119,218
Miami Heat,Utah Jazz,124,116,240
Oklahoma City Thunder,Atlanta Hawks,118,109,227
Boston Celtics,Indiana Pacers,118,112,230
Toronto Raptors,Houston Rockets,122,111,233
Milwaukee Bucks,New Orleans Pelicans,129,125,254
Denver Nuggets,Washington Wizards,110,112,222
Memphis Grizzlies,Los Angeles Clippers,122,94,216
Brooklyn Nets,Orlando Magic,129,92,221
New York Knicks,Sacramento Kings,140,121,261
Philadelphia 76ers,Dallas Mavericks,111,97,208
Utah Jazz,Los Angeles Lakers,114,89,203
Phoenix Suns,Charlotte Hornets,121,124,245
Chicago Bulls,Minnesota Timberwolves,133,126,259
Miami Heat,Toronto Raptors,116,108,224
New Orleans Pelicans,Detroit Pistons,128,118,246
Oklahoma City Thunder,San Antonio Spurs,102,99,201
Atlanta Hawks,Boston Celtics,127,112,239
Cleveland Cavaliers,Houston Rockets,112,96,208
Indiana Pacers,Golden State Warriors,107,111,218
Denver Nuggets,Portland Trail Blazers,111,106,217
Los Angeles Clippers,Washington Wizards,135,116,251
Milwaukee Bucks,Minnesota Timberwolves,139,112,251
Brooklyn Nets,Sacramento Kings,127,118,245
Dallas Mavericks,Boston Celtics,110,107,217
New York Knicks,Golden State Warriors,106,114,220
Toronto Raptors,Philadelphia 76ers,102,109,211
Cleveland Cavaliers,Atlanta Hawks,112,111,223
Orlando Magic,Detroit Pistons,93,105,198
Los Angeles Lakers,Washington Wizards,124,127,251
Oklahoma City Thunder,Miami Heat,94,108,202
Phoenix Suns,Portland Trail Blazers,132,100,232
Utah Jazz,Charlotte Hornets,132,110,242
Dallas Mavericks,Memphis Grizzlies,102,92,194
Houston Rockets,Chicago Bulls,100,120,220
Milwaukee Bucks,Sacramento Kings,128,115,243
Los Angeles Clippers,Brooklyn Nets,108,112,220
Atlanta Hawks,Denver Nuggets,123,115,238
Cleveland Cavaliers,Oklahoma City Thunder,101,117,218
New York Knicks,Minnesota Timberwolves,103,99,202
Orlando Magic,Detroit Pistons,105,96,201
